thomas wies , New York University , http://cs.nyu.edu/wies
victor shoup , New York University , http://www.shoup.net
yann lecun , New York University , http://yann.lecun.com
yevgeniy dodis , New York University , http://cs.nyu.edu/~dodis
zvi kedem , New York University , http://cs.nyu.edu/cs/faculty/kedem
adam klivans , University of Texas—Austin , http://www.cs.utexas.edu/faculty/klivans http://www.cs.utexas.edu/~klivans
ajay bhargava , University of Texas—Austin , http://www.cs.utexas.edu/~abhargav
alan k. cline , University of Texas—Austin , http://www.cs.utexas.edu/faculty/cline
alison n. norman , University of Texas—Austin , http://www.cs.utexas.edu/~ans
aloysius k. mok , University of Texas—Austin , http://www.cs.utexas.edu/~mok/mok.html http://www.cs.utexas.edu/faculty/mok
anna gal , University of Texas—Austin , http://www.cs.utexas.edu/users/panni
anna gál , University of Texas—Austin , http://www.cs.utexas.edu/faculty/g%C3%A1l http://www.cs.utexas.edu/users/panni
bill press , University of Texas—Austin , http://nr.com/whp
brent waters , University of Texas—Austin , http://www.cs.utexas.edu/faculty/waters http://www.cs.utexas.edu/~bwaters
bruce w. porter , University of Texas—Austin , http://www.cs.utexas.edu/faculty/porter http://www.cs.utexas.edu/~porter
c. greg plaxton , University of Texas—Austin , http://www.cs.utexas.edu/~plaxton http://www.cs.utexas.edu/faculty/plaxton
calvin lin , University of Texas—Austin , http://www.cs.utexas.edu/faculty/lin http://www.cs.utexas.edu/~lin
chandrajit bajaj , University of Texas—Austin , http://www.cs.utexas.edu/faculty/bajaj http://www.cs.utexas.edu/users/bajaj/cvc/index.shtml
dana ballard , University of Texas—Austin , http://www.cs.utexas.edu/~dana
dana h. ballard , University of Texas—Austin , http://www.cs.utexas.edu/~dana http://www.cs.utexas.edu/faculty/ballard
daniel p. miranker , University of Texas—Austin , http://www.cs.utexas.edu/~miranker http://www.cs.utexas.edu/faculty/miranker
david i. zuckerman , University of Texas—Austin , http://www.cs.utexas.edu/~diz http://www.cs.utexas.edu/faculty/zuckerman
david zuckerman , University of Texas—Austin , http://www.cs.utexas.edu/~diz
don batory , University of Texas—Austin , http://www.cs.utexas.edu/users/dsb http://www.cs.utexas.edu/faculty/batory
donald s. fussell , University of Texas—Austin , http://www.cs.utexas.edu/~fussell http://www.cs.utexas.edu/faculty/fussell
doug burger , University of Texas—Austin , http://www.cs.utexas.edu/~dburger
e. allen emerson , University of Texas—Austin , http://www.cs.utexas.edu/users/emerson http://www.cs.utexas.edu/faculty/emerson
elaine rich , University of Texas—Austin , http://www.cs.utexas.edu/~ear
emmett witchel , University of Texas—Austin , http://www.cs.utexas.edu/~witchel http://www.cs.utexas.edu/faculty/witchel
eric price , University of Texas—Austin , http://www.cs.utexas.edu/faculty/price
etienne vouga , University of Texas—Austin , http://www.cs.utexas.edu/faculty/vouga
glenn downing , University of Texas—Austin , http://www.cs.utexas.edu/users/downing/drupal
gordon s. novak jr. , University of Texas—Austin , http://www.cs.utexas.edu/~novak http://www.cs.utexas.edu/faculty/novak
greg plaxton , University of Texas—Austin , http://www.cs.utexas.edu/~plaxton
hanan boral , University of Texas—Austin , http://www.cs.utexas.edu/faculty/boral
haran boral , University of Texas—Austin , http://www.cs.utexas.edu/faculty/boral
harrick m. vin , University of Texas—Austin , http://www.cs.utexas.edu/~vin http://www.cs.utexas.edu/faculty/vin
inderjit s. dhillon , University of Texas—Austin , http://www.cs.utexas.edu/faculty/dhillon http://www.cs.utexas.edu/~inderjit
isil dillig , University of Texas—Austin , http://www.cs.utexas.edu/~isil
işil dillig , University of Texas—Austin , http://www.cs.utexas.edu/faculty/idillig
işıl dillig , University of Texas—Austin , http://www.cs.utexas.edu/~isil
j strother moore , University of Texas—Austin , http://www.cs.utexas.edu/faculty/moore http://www.cs.utexas.edu/~moore
james c. browne , University of Texas—Austin , http://www.cs.utexas.edu/~browne
jayadev misra , University of Texas—Austin , http://www.cs.utexas.edu/faculty/misra http://www.cs.utexas.edu/users/misra
jonathan mugan , University of Texas—Austin , http://www.jonathanmugan.com
keshav pingali , University of Texas—Austin , http://www.cs.utexas.edu/faculty/pingali http://www.cs.utexas.edu/~pingali
kristen grauman , University of Texas—Austin , http://www.cs.utexas.edu/faculty/grauman http://www.cs.utexas.edu/users/grauman
lili qiu , University of Texas—Austin , http://www.cs.utexas.edu/faculty/qiu http://www.cs.utexas.edu/~lili
lorenzo alvisi , University of Texas—Austin , http://www.cs.utexas.edu/faculty/alvisi http://www.cs.utexas.edu/~lorenzo
maggie myers , University of Texas—Austin , http://www.cs.utexas.edu/users/myers
margaret myers , University of Texas—Austin , http://www.cs.utexas.edu/users/myers
matt kaufmann , University of Texas—Austin , http://www.cs.utexas.edu/faculty/kaufmann http://www.cs.utexas.edu/~kaufmann
michael d. dahlin , University of Texas—Austin , http://www.cs.utexas.edu/faculty/dahlin
michael walfish , University of Texas—Austin , http://www.cs.utexas.edu/~mwalfish
mike dahlin , University of Texas—Austin , http://www.cs.utexas.edu/users/dahlin
mike scott , University of Texas—Austin , http://www.cs.utexas.edu/~scottm
mohamed g. gouda , University of Texas—Austin , http://www.cs.utexas.edu/faculty/gouda http://www.cs.utexas.edu/~gouda
paul toprac , University of Texas—Austin , http://gamedev.utexas.edu
peter stone , University of Texas—Austin , http://www.cs.utexas.edu/faculty/stone http://www.cs.utexas.edu/~pstone
philip cannata , University of Texas—Austin , http://www.cs.utexas.edu/users/cannata
pradeep ravikumar , University of Texas—Austin , http://www.cs.utexas.edu/~pradeepr http://www.cs.utexas.edu/faculty/ravikumar
raymond j. mooney , University of Texas—Austin , http://www.cs.utexas.edu/~mooney http://www.cs.utexas.edu/faculty/mooney
risto miikkulainen , University of Texas—Austin , http://www.cs.utexas.edu/~risto http://www.cs.utexas.edu/faculty/miikkulainen
robert a. van de geijn , University of Texas—Austin , http://www.cs.utexas.edu/faculty/van-de-geijn http://www.cs.utexas.edu/~rvdg
robert s. boyer , University of Texas—Austin , http://www.cs.utexas.edu/~boyer
robert stephen boyer , University of Texas—Austin , http://www.cs.utexas.edu/~boyer
shyamal mitra , University of Texas—Austin , http://www.cs.utexas.edu/~mitra
simon s. lam , University of Texas—Austin , http://www.cs.utexas.edu/faculty/lam http://www.cs.utexas.edu/users/lam
stephen w. keckler , University of Texas—Austin , http://www.cs.utexas.edu/~skeckler
tandy warnow , University of Texas—Austin , http://www.cs.utexas.edu/~tandy http://www.cs.utexas.edu/faculty/warnow
thomas dillig , University of Texas—Austin , http://www.cs.utexas.edu/faculty/tdillig
