Input.professor,Input.university,Answer.Bachelors,Answer.Doctorate,Answer.JoinYear,Answer.Masters,Answer.PostDoc,Answer.Rank,Answer.Subfield,Answer.URLs
richard anderson,University of Washington,Reed Universtiy,Stanford University,1986,Reed Universtiy,Mathematical sciences Research Institute,Full,Computer Education,http://www.cs.washington.edu/people/faculty/anderson
richard bonneau,New York University,"Florida State University,",University of Washington,2006,,,Assistant,Bioinformatics & Computational Biology,http://bonneaulab.bio.nyu.edu/files/bonneau-extendedCV_5.pdf
richard cole,New York University,"University College, Oxford,",Cornell University,2011,,,Full,Algorithms & Theory,http://cs.nyu.edu/cs/faculty/cole/index.html#CP
richard e. ladner,University of Washington,St. Mary's College of California,University of California,1971,,na,Full,Computer Education,http://www.cs.washington.edu/people/faculty/ladner/
richard west,Boston University,University of Newcastle-upon-Tyne,"Georgia Institute of Technology, Atlanta, Georgia.",6-Sep,"Georgia Institute of Technology, Atlanta, Georgia.",,Associate,Real-Time & Embedded Systems,http://www.cs.bu.edu/fac/richwest/vita.html
rob fergus,New York University,University of Cambridge,University of Oxford,2007,"California Institute of Technology, Pasadena",,Associate,Computer Vision,http://www.cs.nyu.edu/~fergus/cv.pdf
robert a. van de geijn,University of Texas-Austin,University of Wisconsin-Madison,"University of Maryland, College Park",1987,,,Full,Distributed & Parallel Computing,http://www.cs.utexas.edu/~rvdg/vita.pdf
robert a. wagner,Duke University,Massachusetts Institute of Technology,Carnegie-Mellon University,2006,Carnegie-Mellon University,,Full,Computer Education,http://www.cs.duke.edu/~raw/
robert calderbank,Duke University,Warwick University,California Institute of Technology,,Oxford University,,Full,Computer Education,http://www.cs.duke.edu/people/faculty/?csid=3565
robert fowler,Duke University,Harvard College,University of Washington,,University of Washington,,Adjunct,"Computer Education, Software Engineering",http://www.cs.duke.edu/people/faculty/?csid=3570
robert grimm,New York University,Massachusetts Institute of Technology (MIT),University of Washington,2002,Massachusetts Institute of Technology (MIT) and University of Washington,,Associate,Programming Languages,http://cs.nyu.edu/~rgrimm/
robert l. bryant,Duke University,,,,,,Full,Computer Education,http://www.cs.duke.edu/people/faculty/?csid=4408
robert s. boyer,University of Texas-Austin,,,1981,,,Other,Algorithms & Theory,http://www.cs.utexas.edu/~boyer/employment.html
